Frame,HEM800-ACE918
0,6.507866
1,10.363689
2,10.722565
3,9.945849
4,9.616270
5,9.337127
6,10.765751
7,10.766814
8,10.556918
9,11.472069
10,11.462664
11,10.538035
12,10.190078
13,10.627517
14,11.060111
15,10.271340
16,12.031106
17,10.578707
18,11.250902
19,11.070999
20,11.224880
21,10.728949
22,9.521671
23,8.680546
24,9.551285
25,8.868197
26,9.692117
27,8.785489
28,8.707156
29,9.027714
30,9.045216
31,9.254806
32,8.914938
33,8.931592
34,8.681715
35,9.132798
36,9.572960
37,9.377612
38,10.116635
39,9.453254
40,8.580392
41,9.084374
42,9.543712
43,9.345173
44,9.726108
45,9.288436
46,8.537714
47,9.502366
48,9.253231
49,8.944577
50,10.067935
51,10.101653
52,10.215903
53,9.117471
54,9.288428
55,9.417063
56,9.180323
57,8.838013
58,9.445917
59,9.973534
60,10.770119
61,8.958585
62,9.069452
63,9.670365
64,10.014399
65,9.528944
66,8.778773
67,8.497298
68,9.000978
69,9.152685
70,9.346082
71,9.125817
72,9.039385
73,9.077576
74,9.330464
75,9.120593
76,9.309359
77,8.648004
78,8.590482
79,8.798733
80,8.763540
81,13.367390
82,9.609491
83,9.752510
84,9.034426
85,9.408070
86,8.322293
87,7.638483
88,7.878696
89,8.694541
90,9.070588
91,8.966219
92,8.686142
93,8.479228
94,9.523759
95,8.841999
96,9.475198
97,8.439734
98,9.581690
99,9.407154
100,8.684641
101,9.143831
102,8.428174
103,9.536935
104,8.608494
105,8.960614
106,9.477898
107,9.068581
108,9.382945
109,9.680345
110,9.530649
111,10.001471
112,10.782134
113,10.146535
114,10.054767
115,10.111852
116,10.255514
117,10.414509
118,9.937689
119,9.497522
120,7.345267
121,7.308545
122,9.420927
123,9.274781
124,9.130289
125,7.496580
126,10.153141
127,10.130746
128,8.686066
129,8.528290
130,7.503230
131,7.523063
132,9.175227
133,9.892611
134,10.283782
135,10.538341
136,9.843382
137,7.993428
138,9.551533
139,8.711489
140,10.033554
141,9.293245
142,9.305229
143,9.063997
144,9.169730
145,8.898543
146,9.885221
147,9.014007
148,9.023960
149,8.802351
150,8.978280
151,9.011379
152,8.413952
153,8.851118
154,7.992557
155,9.314168
156,9.101191
157,8.061291
158,8.846140
159,8.674463
160,9.625074
161,8.716802
162,8.711255
163,9.575857
164,9.831648
165,8.693025
166,9.113795
167,8.436376
168,8.819120
169,9.427360
170,8.483289
171,9.161430
172,10.048984
173,10.290257
174,10.007062
175,9.133129
176,9.495748
177,9.167293
178,9.274393
179,8.713743
180,8.852310
181,9.453685
182,9.945259
183,9.063200
184,10.634175
185,8.978012
186,8.170682
187,9.412784
188,8.792913
189,8.887048
190,9.139650
191,9.258639
192,9.239150
193,8.602336
194,10.460425
195,8.980792
196,8.674747
197,8.587401
198,8.878995
199,8.397047
200,8.679075
