Frame,Distance HEM800-TRA1
0,8.11625
1,8.202902
2,7.873153
3,8.032125
4,8.340325
5,8.168204
6,8.315152
7,8.79458
8,9.4262495
9,9.171283
10,9.252262
11,8.838732
12,8.7937155
13,9.364186
14,9.131236
15,9.378763
16,9.107089
17,8.069103
18,9.13769
19,9.207184
20,9.178562
21,9.702693
22,9.410346
23,10.011738
24,9.228775
25,9.658393
26,9.063492
27,9.1821165
28,9.25747
29,10.005281
30,10.162857
31,11.338575
32,10.256674
33,10.709875
34,10.301484
35,10.781036
36,9.921651
37,9.721494
38,9.537412
39,9.52834
40,9.52072
41,9.207817
42,9.290778
43,9.486447
44,10.953995
45,9.446727
46,8.667457
47,8.76227
48,9.907587
49,9.029433
50,9.304569
51,9.258087
52,9.082922
53,9.476416
54,8.909336
55,9.032634
56,9.342466
57,9.308727
58,9.196228
59,9.004431
60,8.918335
61,8.465526
62,8.3264675
63,9.503188
64,9.320336
65,9.71113
66,9.566269
67,8.940651
68,8.922594
69,9.079369
70,9.17942
71,8.847347
72,8.613481
73,8.459992
74,8.731099
75,8.777026
76,8.796765
77,8.731027
78,8.636934
79,9.203069
80,9.011895
81,8.47946
82,9.365481
83,8.976142
84,9.606122
85,8.734347
86,9.267642
87,9.36252
88,9.372211
89,8.72076
90,9.309846
91,9.410856
92,9.625567
93,10.60882
94,9.339665
95,9.3580475
96,9.337684
97,9.343996
98,9.443579
99,10.400448
100,9.283996
101,9.184798
102,8.977088
103,9.11547
104,10.206136
105,9.09335
106,9.323388
107,10.162697
108,9.260042
109,9.30034
110,9.803934
111,9.588965
112,9.186743
113,9.229504
114,8.814365
115,9.587566
116,9.523334
117,9.568188
118,9.41226
119,8.912072
120,8.752185
121,8.985766
122,8.701864
123,9.239442
124,9.455562
125,9.448637
126,8.08975
127,9.472929
128,8.908249
129,9.267737
130,9.898853
131,9.385333
132,9.2158575
133,9.042824
134,9.11999
135,9.082274
136,9.2284355
137,9.391443
138,9.178994
139,9.261644
140,9.505522
141,9.21746
142,9.494654
143,9.73639
144,9.466478
145,9.114464
146,9.587269
147,9.353011
148,9.42545
149,9.505111
150,9.495476
151,9.659882
152,9.271338
153,9.365352
154,9.932411
155,9.497222
156,9.724189
157,9.232432
158,9.181739
159,9.220924
160,9.14383
161,9.838539
162,9.587399
163,9.904316
164,9.257423
165,9.672248
166,9.580057
167,9.445975
168,9.804202
169,9.3766165
170,9.39997
171,9.090402
172,9.6673765
173,9.528509
174,9.152729
175,9.3847065
176,9.479268
177,9.545846
178,8.981578
179,9.281459
180,9.1943655
181,9.223847
182,9.392773
183,9.112176
184,9.086959
185,9.668619
186,9.316631
187,9.246801
188,9.46284
189,9.542543
190,9.5035715
191,9.913262
192,9.56685
193,9.502553
194,9.182832
195,9.3847685
196,9.509357
197,9.372554
198,9.529275
199,8.808686
200,9.156263
